,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
188,TMEM98,FAM177B,HIPK2,RNF125,RNF152,BLNK,MIR646HG,ACACB,LOC101927560,VRK2,ALPK1,GLIS3,ITPR2,ITGA1,LINC02328,RASGRP3,LTBP1,DBNDD2,MEGF11,SUCLG2,IGHVIII-76-1,PTCHD4,ST18,TBC1D16
189,PHLPP1,BHLHE41,NAMPT,SOX6,SGO1-AS1,BAG3,L3MBTL4,CBR1,RUBCNL,CPB2-AS1,ABCA1,TRPS1,PARP4,VCAN-AS1,DENND3,GCNT2,FGF1,PLA1A,DOCK10,WIF1,OR6C74,CPQ,PREX2,FGF2
190,SLC4A4,TANC1,ENOX2,HSPA1A,CTSC,APCDD1,GASK1B-AS1,SEPTIN4-AS1,PDE1C,SLC11A1,ATP1A2,MYO1F,MYO5B,CAPN3,CAPN3,HIPK2,MARCHF3,ADAMTS6,DDX60L,EVA1B,CSH1,HCST,GALNTL6,RIN3
191,SELENOP,CPQ,TRPC6,RGS12,HHIP,NPL,LINC00298,LDLRAD3,SLC2A3,COL4A1,PALD1,PLEKHA7,RIN2,ADIPOR2,LOC105371366,UTRN,LRIG1,MIR3667HG,RASGEF1C,SLC7A2,TRAV4,SPATA13,SLC7A14-AS1,PREX2
192,MGAM,MS4A6A,PACRG-AS3,LOC102546299,PWRN1,STAB1,NDRG1,CDKN1C,MOBP,CAPN3,LINC02694,LDB3,PIK3CG,ALK,FTL,XRCC4,HIPK2,CPB2,LOC105369147,ITGB2-AS1,IGHV3-15,RGS18,SGO1-AS1,HIPK2
193,SERPINB9,B4GALT1,LOC105373335,LINC00877,TAL1,LOC101927314,BACH1,ABI3BP,COL5A3,WDR49,CPB2,RASGRP3,LINC01505,ELOVL7,ANGPT2,ERBIN,PRKCQ,LINC01500,ALK,IL1RL1,LOC105376380,ERMN,PRRX1,LOC105373335
194,ABTB3,LMO2,A2M,ERBB3,LINC00639,S100A10,CNR1,NR4A3,RANBP3L,SOCS6,BHLHE41,TMEM144,ARHGAP15,GPR37,ST6GALNAC3,OTULINL,TRIM56,PKP2,LOC105373335,DDR2,MFSD6L,SEMA6A-AS1,CTXND1,MCTP2
195,ADAMTS9,CYBB,COL5A3,PSD2,PRR5L,PTCHD4,GNA14,CMTM7,ENOX2,RGS12,SPI1,PGM5,FGF1,ALPK1,CYP4F12,NDUFA4L2,LOC101927745,RASSF8,ENTREP1,LHFPL3,LCE1C,PI16,USP6NL,PRUNE2
196,MKRN3,CD14,DDR2,NKX6-2,LDB3,CBLN2,LMCD1-AS1,SHISA6,PDGFB,ACSL1,AOAH,LOC105371366,ROBO2,BTG2,PLP1,DHRS3,TENM1,PLCH1,PHLPP1,ATP1B2,SERPINA4,LOC101930421,HIF3A,PIP4K2A
197,MYO10,LINC02742,LOC101927026,SUCLG2,B3GNT5,COL6A3,LHCGR,LURAP1L-AS1,PHLDB1,SPHKAP,CAPN3,RNASET2,ADAMTS17,LINC01500,LINC01876,CDKN1C,SPATA13,P2RY12,PHLDB1,MPEG1,TRAV8-6,TAGLN,ENTREP1,SLC7A5
